"","kba","domestic_timber"
"1143",3441,0
"1144",3442,0
"1145",3443,0
"1146",3444,0
"1147",3445,0
"1148",3446,0
"1149",3447,0
"1150",3448,0
"1151",3449,0
"1152",3450,0
"1153",3451,0
"1154",3452,0
"1155",3453,0
"1156",3455,0
"1157",3457,0
"1158",3458,0
"1159",3459,0
"1160",3460,0
"1161",3461,0
"1162",3462,0
"1163",3463,0
"1164",3464,0
"1165",3465,0
"1166",3466,0
"1167",3467,0
"1168",3468,0
"1169",3469,0
"1170",3471,0
"1171",3472,0
"1172",3473,0
"1173",3475,0
"1174",3476,0
"1175",3479,0
"1176",3480,0
"1177",3482,0
"1178",3484,0
"1179",3485,0
"1180",3486,0
"1181",3487,0
"1182",3488,0
"1183",3489,0
"1184",3490,0
"1185",3491,0
"1186",3492,0
"1187",3493,0
"1188",3494,0
"1189",3496,0
"1190",3497,0
"1191",3498,0
"1192",3499,0
"1193",3500,0
"1194",3501,0
"1195",3502,0
"1196",3503,0
"1197",3504,0
"1198",3505,0
"1199",3506,0
"1200",3507,0
"1201",3508,0
"1202",3509,0
"1203",3510,0
"1204",3511,0
"1205",3512,0
"1206",3513,0
"1207",3514,0
"1208",3515,0
"1209",3518,0
"1210",3519,0
"1211",3520,0
"1212",3521,0
"1213",3522,0
"1214",3523,0
"1215",3524,0
"1216",3525,0
"1217",3526,0
"1218",3528,0
"1219",3532,0
"1220",3535,0
"1221",3538,0
"1222",3541,0
"1223",3542,0
"1224",3543,0
"1225",3548,0
"1226",3550,0
"1227",3551,0
"1228",3552,0
"1229",3553,0
"1230",3554,0
"1231",3555,0
"1232",3556,0
"1233",3557,0
"1234",3558,0
"1235",3559,0
"1236",3560,0
"1237",3561,0
"1238",3562,0
"1239",3563,0
"1240",3564,0
"1241",3565,0
"1242",3566,0
"1243",3570,0
"1244",3573,0
"1245",3574,0
"1246",3576,0
"1247",3577,0
"1248",3586,0
"1249",3592,0
"1250",6000,145.380582349153
"1251",6001,2.95799353754527
"1252",6002,22.7140921994383
"1253",6003,74.5497367936336
"1254",6004,21.6359802443669
"1255",6005,18.5688257792276
"1256",6006,7.17114337519571
"1257",6007,36.7168936694435
"1258",6008,17.9534722819558
"1259",6009,0.8603649850562
"1260",6011,1.44193917831021
"1261",6012,2.00996296686261
"1262",6013,44.8286820013966
"1263",6014,121.154969695815
"1264",6015,7.96257476736371
"1265",6016,6.24640167236638
"1266",6017,36.5842359395014
"1267",6019,70.8852795516309
"1268",6020,0
"1269",6021,19.0565853875251
"1270",6022,0
"1271",6023,0.775005125425439
"1272",6024,1.62663757430079
"1273",6025,0
"1274",6026,0
"1275",6027,0
"1276",6028,12.1427393952697
"1277",6029,0
