"","country","country_id","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_nathab","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","rural_nature_access_360","rural_nature_access_60","urban_nature_access_360","urban_nature_access_60","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"64","Djibouti","DJI",0,592643.109494861,378803.188408964,83648.2449848579,0.178138196199951,0.733087926275114,835563.304050571,4.67174085461512,1.88358724794751,0.980766779981444,0,49.0874042190804,5.70266079902649,403.331031265222,63667754.7066161,43943570.5535509,32748.5453810347,52196.6615121753,42603.6019958127,41960.8826804161,0,33,1949414.79708724,1284816.04493362,21438
"65","Dominica","DMA",0,226268.588699341,144712.244596034,185173.701553345,37.2504492226928,0.493240843041864,0,0,0,11.8548064018449,0,0,0,0,14205799.8129883,13416019.2749023,42666.8525390625,36794.8315783581,0,0,0,239,0,0,20323
"66","Denmark","DNK",0,3275241.79286736,485087.667337319,602347.465027073,120.428022992141,0,5577712.66895863,308324.808090505,166957.449624169,103.967117590176,6.94455185194965,407.872081555181,153.733068466187,2331.98531434914,718219504.650381,504805779.934671,699275.298904419,687230.270935059,348233.116796017,405034.741996601,15073.3533249526,0,6810380.61264347,3885800.19497727,69740
"67","Dominican Republic","DOM",0,1559923.91086611,757530.653701197,842845.324823056,2531.6279821314,35.996211065492,180218174.651769,12568626.2431826,6112178.37370996,1308.79749121797,115.972992132767,1767.94665349264,11.4421646595001,5529.53592564852,21463490285.8822,12213613011.6704,2217476.00449063,1892711.25730682,3445950.02802247,2844057.70150369,16162.997135801,1821,960183013.411321,507254437.162432,529403
"68","Algeria","DZA",0,6184060.52311404,331712.142857229,1630254.478218,553.993888388662,259.313085403559,315303932.623037,48953458.3513081,17848002.5125014,1403.68282812337,1.06988989340607,2944.24831467089,72.6297909021378,162933.723540886,93542464971.3964,32333651949.281,7489486.56353778,6447530.99341966,6004354.84250282,3888198.83617124,47641.8803062101,0,2221789113.63418,916670849.801595,524762
"69","Ecuador","ECU",0,2594615.86549165,2086375.86780739,1005843.47196601,5856.74343656694,1277.59788563991,904961028.583015,21625625.1762274,8690378.36078282,3252.47077545384,75.2117049591616,4031.96983483872,2236.83751630783,245812.226181457,88103375552.5973,29843453142.9491,5013199.86331469,4625913.97301499,4972892.22151809,4013021.66161289,9821.54164644112,396,5020970048.05588,1925906381.66768,6788792
"70","Egypt","EGY",0,1857771.75028078,964585.555464213,195756.479697834,0.459066917307828,0.0445310113628673,329445988.093869,19225329.5266845,1974705.21278608,1.80201890135428,1715.57123209699,126.74667590898,34.0665792524815,1197.29748378386,874837481.689169,405538340.748598,1258497.963993,1097351.60911559,2173342.02570236,1850306.38802105,6993.18904925671,3520,118348093.759555,9953368.84597201,158585
"71","Eritrea","ERI",0,409107.270121676,328140.593657636,89570.6965185375,23.8255333044978,103.46432946869,223876742.058669,2630989.52082508,306083.167235382,140.83307956359,19.2890344327316,2150.85295268423,6.86191999912262,23486.3319315497,77124114497.231,8668503977.27874,1968015.9385975,1930001.06216835,591525.840204367,375974.800579071,82.6757579159011,62,4004865286.89086,438353144.400697,350717
"72","Western Sahara","ESH",0,117.288667429239,19.2251774668694,11.4877531602979,0.000115737790854945,0,2673.35455056823,91.232553863483,77.8119569709128,0.000329630449640269,0,0,21.0933073014021,0.538015297908838,38201.8035202026,23797.4366588593,1434.42990924697,247.584701135755,2808.42267608643,0,0,0,0,0,0
"73","Spain","ESP",0,7640911.21105243,1630284.79016753,2350527.5896012,6734.13520331835,70.1390973807772,728283030.839353,54653083.4390332,20332651.3889881,2350.94239096907,434.048253771616,10339.3706292432,75.3145291805267,375395.477520484,213014500802.042,57989827768.6108,10672965.9721531,9762375.38169993,8852155.53628011,7880524.9418546,83196.0457676789,0,5244452295.663,1544581485.30094,1632277
"74","Estonia","EST",0,309302.538571519,83159.7320604119,159440.394027832,1283.48062741651,8.60236705549769,15494113.2902726,2111035.62705999,889242.33684903,132.772396866576,377.016517495154,123.238192692137,57.1390247344971,25688.4595659097,3985180676.40866,1379628931.26127,550811.905238867,478819.825414944,331834.403627586,260301.193032915,1345.25873456302,0,9943181.32426362,3619669.62305278,791172
"75","Ethiopia","ETH",0,0,0,0,2682.35315856135,18409.3593226637,7519537125.33135,56555599.9502449,4008983.58378265,22545.1927202102,1830.34883758554,46463.8087878003,0,1955344.77845182,1833191254095.05,103217362518.854,38340189.1256664,34990087.2501738,5009347.58398347,4572771.19537721,1973.3297814346,0,41630276872.0351,3007853472.61193,11738273
"76","Finland","FIN",0,1222740.94032289,730922.416764259,803373.19936905,955.751125269816,1.02407279186313,356019963.000575,0,0,142.519190654623,7149.08131117851,31.877313929144,281.692169189453,389381.306257565,0,0,3232155.29064173,2914538.10102569,1210701.32531555,946581.81680663,10077.0157800895,0,0,0,5826484
"77","Fiji","FJI",16666867.0551758,910720.601614424,551179.602150401,336212.87412997,448.16008729694,107.687089238427,5399643.90024743,1599932.71595715,968306.685843487,282.45856337801,350.252922195941,10.9770810654495,1083.65366125107,0,1342881432.02651,726033208.532038,299443.114654618,228788.835274183,58787.4409263306,35949.8134985715,0.763424649834633,2015,68595609.7113847,37303953.7008491,208595
"78","Falkland Islands","FLK",0,2277.42112900665,315.516738055551,0,0,0,0,0,0,0,0,0,32.9929613471031,0,0,0,0,0,0,0,0,0,0,0,0
"79","France","FRA",0,5532621.80616384,962524.892169429,1680594.24798514,8879.51344750882,127.431750907523,1598945494.09577,150575081.450417,26997972.3699143,4217.40745008357,235.612050919444,15117.1597410457,107.5681194067,729717.87729563,1023162399441.87,152227707921.557,17509530.671283,15409984.1443532,8110020.60192481,5970075.65577502,158663.532624645,0,17336182637.4589,3375914627.62701,2495090
"80","Faroe Islands","FRO",0,34047.1963782777,31685.0879945273,27836.364664856,0,0,0,0,0,0,0,24.9396464335884,104.334607362747,0,0,0,33947.3134050369,33241.0780986473,0,0,0,0,0,0,93
"81","Micronesia","FSM",0,131962.181592524,20636.4865381718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0
"82","Gabon","GAB",0,2381934.41760812,144655.109634514,327014.361056621,1708.67875890961,474.954689323739,33420350.1960028,6542261.21174154,1020540.95873092,332.600154864007,666.569007312413,62.0440518229055,828.050969398115,281534.868410991,39106274487.3983,5498850390.8518,597792.601438192,451390.585762012,612083.859157061,322560.718261138,110.776338251524,0,559321921.964751,82553566.3170475,9865512
"83","United Kingdom","GBR",0,11488762.5206844,1831376.48748465,3093019.86481307,1275.95652407682,30.3259611595048,783035243.868941,50043798.469521,24013741.6338474,1235.54590202615,244.901698159287,24851.3270293729,605.352164506912,129662.683568064,94319755634.1457,41939343575.1574,11492372.1819077,10681515.5274509,17952467.3623276,16674036.2712712,125871.469894797,0,1888409878.66655,919971632.464076,3069909
"84","Georgia","GEO",0,760719.113653385,138763.12659359,267919.661927664,1121.29877578013,71.3172862452948,200405623.978401,6022099.47138733,2347795.69122895,714.526988167818,39.373471789062,254.577445459721,3.56797754764557,111744.87145185,65188431669.2093,16172175645.4212,1412664.39729948,1020620.52386372,567731.094956097,374443.672492191,3229.81172884,0,3332365966.07728,857221797.222816,1013619
"85","Guernsey","GGY",0,94013.3086547852,50022.1072998047,0,0.00124158157605487,0,0,0,0,9.28483473016203e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"86","Ghana","GHA",0,506645.104756815,280803.110873042,192999.939848771,2219.53120345597,621.624075670777,216915238.268798,11548559.6548231,2230101.36108607,3574.46015595717,15959.1592773432,3474.34967863415,921.812513113022,138310.765837637,62632740459.184,6616022928.83922,4387050.84728193,3143579.16250771,1521287.7358551,708629.654585488,4726.85626020872,0,984222936.044619,153294309.714285,1200158
"87","Gibraltar","GIB",0,26262.60546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Guinea","GIN",0,705729.767179649,346508.395998725,109994.194743674,6470.66552681912,883.309728439611,609654822.730944,25680726.7382428,1926945.16842596,8679.23094951119,1685.63737744943,6605.6260535881,2969.68324947357,133972.462329802,1432585321274.96,44196145455.0627,5532907.81858595,5128389.92469371,2359435.32879897,1792873.65242387,2206.15252315581,0,3993347788.31725,275383830.402237,2604462
